food,Carbohydrates,Fat,Protein
ham roasted,0.6,21.3,28.7
pork loin raw,0.0,14.7,23.1
pork backribs roasted,0.0,188.9,202.0
pork belly raw,0.0,240.5,42.4
ham raw,0.046,18.2,23.8
ham extra lean,0.6,2.3,5.1
pork feet pickled,0.029,45.5,52.8
pork shoulder cooked,0.0,28.9,31.4
pork top loin roasts roasted,0.0,74.8,224.3
pork skin,0.0,8.9,17.3
pork country style ribs cooked,0.0,15.2,22.8
pork blade steak raw,0.6,43.7,67.6
pork tenderloin cooked,0.0,6.2,22.7
pork loin cooked,0.0,12.1,24.2
pork ears cooked,0.2,12.0,17.7
pork tongue cooked,0.0,43.0,55.7
pork spareribs raw,0.0,303.5,200.6
ham patties grilled,1.0,18.5,8.0
chicken skin roasted,0.0,45.6,22.8
turkey breast raw,0.0,158.9,495.6
ground turkey raw,0.0,8.7,22.4
chicken wing cooked,0.0,3.5,4.8
turkey roast roasted,4.1,7.8,28.8
pheasant meat raw,0.0,74.3,181.6
chicken back raw,0.0,17.0,8.3
chicken back cooked,0.0,6.5,8.0
chicken leg fried,13.8,25.5,34.4
chicken feet cooked,0.9,66.2,88.0
turkey steak fried,10.9,10.8,9.1
turkey taco meat cooked,5.5,13.9,30.7
chicken leg raw,0.6,54.9,56.3
chicken meat raw,0.0,138.6,171.1
chicken neck cooked,0.0,6.9,7.5
chicken drumstick fried,6.0,11.3,15.8
quail egg,0.08,1.0,1.2
duck meat cooked,0.0,39.7,26.6
chicken wing roasted,0.0,14.3,20.2
quail meat cooked,0.0,63.9,113.7
goose meat cooked,0.0,30.7,35.2
chicken breast cooked,0.0,4.5,17.3
chicken neck raw,0.0,13.1,7.0
duck egg,1.0,9.6,9.0
pheasant breast raw,0.0,11.8,88.7
duck meat raw,0.0,498.8,145.7
squab meat raw,0.0,47.4,36.8
chicken drumstick raw,0.1,12.4,23.4
turkey meat roasted,0.031,11.1,42.8
chicken breast raw,0.0,16.1,36.3
ground chicken cooked,0.0,27.4,58.4
turkey wing cooked,0.0,23.1,50.9
goose meat raw,0.0,550.7,259.8
turkey breast roasted,0.0,128.0,496.1
chicken fajita strips,0.2,0.5,1.7
crispy chicken strips tyson,0.0,6.0,0.0
chocolate pudding fat free,23.6,0.3,2.2
tapioca pudding,23.9,4.3,2.1
tapioca pudding fat free,23.9,0.4,1.6
rice pudding,20.8,2.4,3.6
corn pudding,42.4,12.6,11.1
chocolate pudding,34.5,6.9,3.1
lemon pudding,30.2,4.4,4.1
vanilla pudding,33.9,5.7,2.2
profeel proteiinirahka valio,19.3,0.4,175.0
cottage cheese creamed,0.7,0.9,2.2
zaziki milfina,0.0,4.4,0.0
cottage cheese low fat,6.1,2.3,28.0
cottage cheese nonfat,9.7,0.4,15.0
vanilla yogurt low fat,33.8,3.1,12.1
classique yogurt plain 2 liberte,1.7,1.2,3.3
yoplait light strawberry yogurt yoplait,0.074,0.0,0.0
vanilla yogurt,23.5,2.1,8.4
chocolate yogurt,35.3,0.0,5.3
yogurt parfait,23.6,1.5,5.0
yogurt,7.0,4.9,5.2
chocolate frozen yogurt,37.6,6.3,5.2
frozen yogurt,37.6,6.3,5.2
yogurt low fat,17.2,3.8,12.9
vanilla yoghurt oikos,0.0,1.8,0.0
fruit yogurt,28.0,1.7,6.0
danone low fat alsafi,0.089,1.7,0.0
fruit n yogurt parfait mcdonalds,30.9,1.9,4.1
triple zero greek yogurt dannon oikos,22.5,0.0,0.038
greek yogurt,6.1,0.7,17.3
chocolate rasberry protein mini proteinfx,0.0,2.9,0.0
gushers fruit gushers,0.2,6.0,0.0
egg fried,0.4,6.8,6.3
glucerna abbott,120.9,35.6,0.0
sports drink,7.2,0.0,0.0
peanut butter cookie protein syntha 6,5.0,6.0,0.0
hanfprotein pulver rohkostqualitat veganz,14.2,3.1,0.0
smoothie high protein creamy chocolate slimfast,2.1,3.5,12.0
egg large,0.0,9.3,0.0
boysenberries frozen,16.1,0.3,1.5
malt beverage,19.1,0.3,0.5
chocolate powder for milk,19.9,0.5,1.0
vegetable fruit juice,2.2,0.017,0.071
cocoa powder unsweetened,3.1,0.7,1.1
coconut milk,0.8,3.6,0.3
cocoa powder,5.9,0.3,0.5
rice drink,22.0,2.3,0.7
coconut water,8.9,0.5,1.7
caramel med iced coffee dunkin donuts,0.0,9.0,0.0
instant coffee with water decaffeinated,0.8,0.0,0.2
instant coffee powder,75.4,0.5,12.2
instant coffee powder decaffeinated,1.4,0.069,0.2
instant cappuccino powder,11.2,0.7,0.4
coffee decaffeinated,0.0,0.0,0.2
espresso decaffeinated,0.5,0.011,0.065
instant coffee with water,0.6,0.0,0.2
coffee,0.0,0.069,0.3
espresso,0.5,0.086,0.021
whey protein powder vanilla eas,0.0,1.7,0.0
energy drink sugar free red bull,1.8,0.2,0.6
powerade coca cola,2.3,0.009,0.0
amp energy pepsi,29.0,0.2,0.6
gatorade g2 pepsi,0.6,0.052,0.069
amp energy sugar free pepsi,2.5,0.0,0.0
energy drink red bull,26.4,0.0,1.2
powerade zero ion4 coca cola,0.0,0.0,0.0
full throttle coca cola,29.0,0.2,0.6
passion fruit juice purple,35.7,0.4,1.7
pomegranate juice,32.7,0.7,0.4
cranberry apricot juice,39.7,0.0,0.5
pineapple juice,32.2,0.3,0.9
passion fruit juice yellow,33.6,0.1,1.0
orange apricot juice,31.8,0.3,0.8
tangerine juice,24.9,0.5,1.2
orange juice,20.8,0.4,1.4
grapefruit juice,22.7,0.2,1.2
pineapple grapefruit juice,29.0,0.3,0.5
tamarind nectar,37.0,0.3,0.2
apple juice,28.0,0.3,0.2
limeade,34.1,0.0,0.0
guava nectar,40.8,0.2,0.2
orange grapefruit juice,25.4,0.2,1.5
orange juice sainsburys,0.0,0.088,0.0
cranberry apple juice,38.8,0.3,0.0
pineapple orange juice,29.5,0.0,3.3
pear nectar,39.4,0.062,0.3
blackberry juice,19.5,1.5,0.8
lemon juice,16.6,0.6,0.9
cranberry grape juice,34.3,0.2,0.5
citrus fruit juice,28.3,0.057,0.8
prune juice,44.7,0.006,1.6
guanabana nectar,37.5,0.4,0.3
fruit juice,26.3,0.1,0.3
horchata,3.3,0.2,0.1
fruit punch,24.4,0.4,0.2
apricot nectar,35.7,0.2,0.9
orangensaft ja,1.4,0.0,0.0
fruchtcocktail granini,1.0,0.4,0.0
peach nectar,29.7,1.3,0.5
orange pineapple juice,3.6,0.08,0.1
cranberry juice,24.4,0.3,0.8
white grapefruit juice,22.7,0.2,1.2
mango nectar,32.9,0.2,0.3
acerola cherry juice,11.6,0.7,1.0
apple juice concentrate,86.5,0.8,1.1
papaya nectar,36.3,0.4,0.4
apple juice martinellis,0.0,0.0,0.0
lime juice,20.4,0.2,1.0
grape juice,37.4,0.3,0.9
water dannon,0.0,0.0,0.0
tap water,0.0,0.0,0.0
table water,0.0,0.0,0.0
fruit flavored water,13.0,0.0,0.0
water,0.0,0.0,0.0
cola light coca cola,0.0,0.0,0.0
lemon lime soda,38.4,0.0,0.3
tonic water,29.6,0.0,0.0
lemonade low calorie,1.6,0.0,0.092
ginger ale,17.5,0.0,0.0
ice tea lemon flavor nestle,22.3,0.0,0.0
sprite coca cola,20.3,0.063,0.1
cola coca cola,38.9,0.0,0.0
cola,19.1,0.07,0.1
cream soda,65.7,0.0,0.0
club soda,0.0,0.0,0.0
pink lemonade,21.6,0.3,0.1
grape soda,41.7,0.0,0.0
cola without caffeine coca cola,38.9,0.0,0.0
white lemonade,20.8,0.003,0.1
chocolate soda,52.6,0.0,0.0
sweet tea lipton,35.0,0.0,0.0
hibiscus tea,14.8,1.3,0.9
instant lemon tea,0.3,0.0,0.1
pesca tea santal,0.0,0.0,0.0
instant lemon tea sweetened,22.3,0.2,0.071
tea with milk and sugar yorkshire,0.4,0.5,0.0
tea blueberry muffin tekanne,0.4,0.2,0.0
chamomile tea,0.4,0.0,0.0
black tea,0.7,0.0,0.0
herb tea,0.4,0.0,0.0
clam tomato juice,18.2,0.3,1.0
tomato juice,8.6,0.7,2.1
vegetable juice,11.1,0.2,1.5
tomato vegetable juice,11.1,0.2,1.5
carrot juice,18.6,0.3,1.9
acorn dried,15.2,8.9,2.3
fenugreek seeds,6.5,0.7,2.6
peanut topping mcdonalds,4.6,15.0,7.9
beechnuts dried,10.1,15.0,1.9
breadnut tree seeds raw,13.1,0.3,1.7
cumin seeds,0.9,0.5,0.4
pili nuts dried,4.8,95.5,13.0
hazelnuts roasted,5.3,18.7,4.5
lupins cooked,15.4,4.8,25.8
hazelnuts blanched,4.8,17.3,3.9
brazilnuts dried,0.6,3.3,0.7
sunflower seeds dry roasted,1.9,4.0,1.5
ginkgo nuts canned,34.3,2.5,3.5
peanuts cooked,38.3,39.6,24.3
pumpkin squash seeds dried,13.8,63.3,39.0
cashew nuts raw,8.5,12.4,5.2
sunflower seeds dried,9.2,23.7,9.6
lotus seeds dried,20.6,0.6,4.9
butternuts dried,14.5,68.4,29.9
sesame seeds dried,2.1,4.5,1.6
breadfruit seeds,8.8,1.7,2.2
pinyon pine nuts dried,0.01,0.073,0.083
pine nuts dried,17.7,92.3,18.5
flaxseeds,3.0,4.3,1.9
safflower seed kernels dried,9.7,10.9,4.6
pistachio nuts raw,33.8,55.8,24.9
peanuts raw,23.5,71.9,37.7
poppy seeds,2.5,3.7,1.6
valencia peanuts raw,30.5,69.5,36.6
spanish peanuts,23.1,72.4,38.2
dill seeds,3.6,1.0,1.1
caraway seeds,3.3,1.0,1.3
acorn raw,11.5,6.8,1.7
almonds roasted,5.3,16.6,6.4
lotus seeds raw,4.9,0.1,1.2
chestnuts cooked,7.9,0.4,0.6
alfalfa seeds,0.002,0.075,0.1
virginia peanuts roasted,6.0,14.6,7.8
hazelnuts raw,12.5,45.6,11.2
anise seeds,1.1,0.3,0.4
macadamia nuts roasted,4.0,22.8,2.3
studentenfutter alnatura,13.2,7.8,3.1
pumpkin squash seeds roasted,1.2,3.9,2.4
water chestnut raw,29.7,0.1,1.7
chestnuts roasted,7.9,0.3,0.5
ginkgo nuts raw,10.6,0.5,1.2
almonds raw,0.3,0.7,0.3
peanuts roasted,4.6,15.8,8.4
sunflower seeds toasted,27.6,76.1,23.1
sisymbrium seeds,43.1,3.4,9.0
breadnut tree seeds dried,127.0,2.7,13.8
pecans raw,15.1,78.4,10.0
chia seeds dried,11.9,8.7,4.7
japanese chestnuts roasted,12.8,0.2,0.8
sesame seeds toasted,2.1,3.8,1.4
cashew nuts roasted,9.0,14.3,5.1
lupins raw,72.7,17.5,65.1
mustard seeds ground,0.6,0.7,0.5
mixed nuts roasted,7.6,15.4,5.2
salat mix alestro,2.4,5.2,0.0
chestnuts raw,66.0,3.3,3.5
pistachio nuts roasted,8.5,13.7,6.3
walnut,0.7,3.3,0.8
celery seeds,2.7,1.6,1.2
hickorynuts dried,21.9,77.2,15.3
spanish peanuts roasted,25.7,72.1,41.2
woca seeds dried,22.6,0.3,2.2
pecans roasted,3.9,22.6,2.8
fennel seeds,1.0,0.3,0.3
chinese chestnuts roasted,14.8,0.3,1.3
watermelon seed kernels dried,16.5,51.2,30.6
macadamia nuts raw,0.7,4.0,0.4
pectin,45.2,0.2,0.2
black walnut dried,0.5,3.0,1.2
water chestnut canned,17.2,0.015,1.2
ginkgo nuts dried,20.5,0.6,2.9
virginia peanuts raw,24.1,71.2,36.8
valencia peanuts roasted,4.9,15.4,8.1
nesfit diet cereal nestle,0.0,0.0,0.0
corn grits cooked,37.9,1.2,4.4
amaranth flakes,27.0,2.7,5.9
granola,32.3,14.6,8.2
muesli with fruit nuts,45.7,3.4,4.3
muesli master crumble,4.5,2.4,2.4
bran flakes,32.2,0.8,4.0
nut cereal,46.2,5.9,4.0
corn flakes,24.6,0.3,1.7
corn grits dry,7.7,0.2,0.7
margarine with yoghurt,0.073,9.8,0.058
sunflower seed butter,3.7,8.8,2.8
hazelnut oil,0.0,13.6,0.0
menhaden fish oil,0.0,218.0,0.0
cod liver fish oil,0.0,13.6,0.0
sardine oil,0.0,13.6,0.0
cupu assu oil,0.0,13.6,0.0
lard,0.0,12.8,0.0
sesame butter,3.8,8.1,2.9
margarine spread,0.1,6.7,0.082
lard vegetable oil,0.0,12.8,0.0
shortening,0.0,12.8,0.0
vegetable oil spread,0.1,8.4,0.007
cottonseed oil,0.0,13.6,0.0
vegetable oil spread fat free,0.4,0.5,0.2
soy margarine,0.0,9.9,0.0
margarine with salt,0.017,11.3,0.031
margarine,0.018,11.5,0.037
salmon fish oil,0.0,13.6,0.0
nutmeg butter oil,0.0,218.0,0.0
almond butter,3.0,8.9,3.4
sour cream shoprite,1.0,5.0,0.0
ucuhuba butter oil,0.0,13.6,0.0
chicken fat,0.0,12.8,0.0
herring fish oil,0.0,13.6,0.0
bacon grease,0.0,4.3,0.0
turkey fat,0.0,5.0,0.0
beef tallow,0.0,12.8,0.0
goose fat,0.0,5.0,0.0
duck fat,0.0,5.0,0.0
mutton tallow,0.0,5.0,0.0
grapeseed oil,0.0,13.6,0.0
sheanut oil,0.0,218.0,0.0
almond oil,0.0,13.6,0.0
sunflower oil,0.0,13.6,0.0
cashew butter,4.4,7.9,2.8
canola oil,0.0,14.0,0.0
babassu oil,0.0,218.0,0.0
teaseed oil,0.0,13.6,0.0
avocado oil,0.0,14.0,0.0
vegetable palm kernel oil,0.0,13.6,0.0
coconut oil,0.0,13.6,0.0
safflower oil,0.0,13.6,0.0
vegetable oil,0.0,13.6,0.0
apricot kernel oil,0.0,4.5,0.0
peanut oil,0.0,13.5,0.0
poppyseed oil,0.0,13.6,0.0
flaxseed oil,0.0,13.6,0.086
tomatoseed oil,0.0,218.0,0.0
wheat germ oil,0.0,13.6,0.0
sesame oil,0.0,4.5,0.0
corn granola oil,0.0,14.0,0.0
cocoa butter oil,0.0,13.6,0.0
olive oil,0.0,13.5,0.0
palm kernel oil,0.0,4.5,0.0
mustard oil,0.0,14.0,0.0
rice bran oil,0.0,13.6,0.0
vegetable macaroni dry,62.9,0.9,11.0
chow mein noodles,37.5,9.9,5.9
chinese noodles,111.9,0.094,0.2
vegetable macaroni cooked,35.7,0.1,6.1
corn pasta dry,83.2,2.2,7.8
egg noodles dry,27.1,1.7,5.4
whole wheat spaghetti dry,21.2,0.4,4.1
japanese soba noodles dry,21.1,0.2,4.1
rice noodles dry,23.6,0.2,1.0
spinach spaghetti dry,21.2,0.4,3.8
egg noodles cooked,20.1,1.7,3.6
japanese somen noodles cooked,48.5,0.3,7.0
whole wheat macaroni dry,78.8,1.5,15.4
pasta marinara and ground beef sauce,4.1,1.6,2.5
macaroni raw,78.4,1.6,13.7
spaghetti dry,21.1,0.4,3.7
fusilli cucina,3.4,0.4,0.0
japanese somen noodles dry,21.0,0.2,3.2
pasta cooked,57.3,2.4,11.8
macaroni cooked,43.2,1.3,8.1
spinach egg noodles dry,26.7,1.7,5.6
japanese soba noodles cooked,24.4,0.1,5.8
rice noodles cooked,42.3,0.4,3.2
whole wheat macaroni cooked,37.2,0.8,7.5
spaghetti cooked,71.0,2.1,13.3
whole wheat spaghetti cooked,37.2,0.8,7.5
waffle,24.7,10.6,5.9
baked taco shell,8.3,2.7,0.8
puff pastry,112.0,94.3,18.1
blueberry muffin,30.2,9.2,2.6
bread crumbs,77.7,5.7,14.4
warm cinnamon roll mcdonalds,15.0,5.1,2.0
corn muffin,33.7,5.5,3.9
tortilla,98.4,1.9,14.3
croutons seasoned,25.4,7.3,4.3
buttermilk waffle,16.0,3.1,2.4
flour tortilla,24.1,3.7,3.9
glazed donut,6.2,3.0,0.8
corn tortilla,10.7,0.7,1.4
muffin,23.6,6.5,3.9
croutons,5.9,0.5,1.0
donut with jelly filling,33.2,15.9,5.0
sweet cinnamon rolls,42.2,13.6,5.1
oat bran muffin,8.2,1.3,1.2
french cruller donut,24.4,7.5,1.3
pancakes,10.8,3.7,2.4
chocolate donut,34.4,11.9,2.7
sweet cheese rolls,28.8,12.1,4.7
eclair,11.2,19.2,4.4
donut with cream filling,25.5,20.8,5.4
fruit toaster pastry,37.1,5.6,2.4
donut,22.9,10.3,2.3
pancakes whole wheat,12.9,2.9,3.7
keikitos,22.3,10.6,2.9
zwieback,5.2,0.7,0.7
chocolate coated donut,9.2,4.5,0.9
waffle toasted,16.3,3.2,2.4
cinnamon toaster pastry,34.1,7.1,2.6
wheat bran bread,17.2,1.2,3.2
white bread,14.3,1.0,2.6
oat bran bread,11.9,1.3,3.1
whole wheat bread natures own,0.0,1.0,0.0
high protein bread dr zaks,15.3,3.0,0.0
wheat bread,13.8,1.3,3.1
egg bread toasted,19.5,2.4,3.9
butter toastbrot ja,2.0,0.9,0.0
vienna bread toasted,18.0,0.6,3.8
vienna bread,18.1,0.6,3.8
protein bread,8.3,0.4,2.3
banana bread,31.1,6.0,2.5
rice bran bread,11.7,1.2,2.4
white fibre wonder bread,18.0,1.0,3.5
focaccia,20.4,4.5,5.0
oat bran bread toasted,11.8,1.3,3.1
rye bread,15.5,1.1,2.7
wheat germ bread,13.5,0.8,2.7
protein bread toasted,8.2,0.4,2.2
oatmeal bread,13.1,1.2,2.3
arepa,36.4,5.3,5.4
raisin bread toasted,16.5,1.4,2.5
cracked wheat bread,14.0,1.1,2.5
garlic bread,17.9,7.1,3.6
rye bread toasted,15.4,1.0,2.7
whole wheat bread,23.6,2.5,3.9
whole wheat bread toasted,23.7,2.5,3.9
pan dulce bread,35.5,7.3,5.9
rice bran bread toasted,11.8,1.3,2.4
pita bread whole wheat,15.4,0.7,2.7
wheat germ bread toasted,13.6,0.8,2.7
pumpernickel bread,12.4,0.8,2.3
frybread,73.4,18.6,10.2
white bread toasted,15.4,1.1,2.5
piki bread,20.2,2.0,2.5
wheat bread toasted,13.4,1.0,3.1
pita bread,33.4,0.7,5.5
potato bread,15.1,1.0,4.0
egg bread,19.1,2.4,3.8
oatmeal bread toasted,13.2,1.2,2.3
cheese bread,21.5,10.0,5.0
pumpernickel bread toasted,15.1,1.0,2.8
raisin bread,16.7,1.4,2.5
pumpernickel roll,14.8,0.8,3.0
cinnamon raisin bagel,14.4,0.4,2.5
english muffin,25.5,1.1,5.0
rye dinner roll,22.8,1.5,4.4
english muffin whole wheat,26.7,1.4,5.8
dinner roll whole wheat,14.3,1.3,2.4
dinner roll,12.9,1.8,2.4
hotdog roll,21.1,1.6,4.1
bagel,47.9,1.5,10.0
oat bran bagel,36.8,0.8,7.4
pain au chocolat de la boulangerie,0.0,12.0,0.0
egg bagel,13.8,0.5,2.8
english muffin toasted,27.4,1.1,5.4
english muffin whole wheat toasted,26.9,1.4,5.9
biscuit,45.0,16.5,7.1
french roll,19.1,1.6,3.3
oat bran dinner roll,13.3,1.5,3.1
pecan shortbread cookies,8.2,4.6,0.7
oatmeal cookies,17.2,4.5,1.6
chocolate wafers,81.1,15.9,7.4
vanilla wafers low fat,58.9,12.2,4.0
chocolate chip cookies mcdonalds,18.7,6.4,1.6
gingersnap cookies,5.4,0.7,0.4
biscotti abbracci mulino bianco,0.8,2.6,0.4
chocolate chip cookie,9.3,2.8,0.5
brownie,38.3,9.8,2.9
shortbread cookies,5.2,1.9,0.5
oatmeal cookies with raisins,10.3,2.4,1.0
peanut butter sandwich cookies,9.2,3.0,1.2
sugar cookies,10.2,3.2,0.8
chocolate covered graham crackers,9.3,3.2,0.8
raisin cookies,10.2,2.0,0.6
vanilla wafers,4.3,1.2,0.3
graham crackers,64.5,8.5,5.8
peanut butter cookies,11.8,4.8,1.8
vanilla sandwich cookie,10.8,3.0,0.7
sugar wafers with creme filling,7.1,2.3,0.4
cheese puffs,18.6,12.8,2.1
saltine crackers,2.2,0.3,0.3
trail mix,13.5,8.8,4.1
corn cones,17.8,7.6,1.6
chocolate pretzels,7.8,1.8,0.8
french toast sticks,8.9,3.8,1.3
crackers,9.8,4.2,1.1
sesame sticks,4.7,3.7,1.1
cheese crackers,4.2,1.6,0.8
oriental rice cracker mix,14.6,7.2,4.9
breadsticks,17.1,2.4,3.0
milk crackers,7.7,1.7,0.8
matzo crackers whole wheat,22.1,0.4,3.7
matzo crackers with egg,22.0,0.6,3.4
granola bites,3.3,0.9,0.4
crackers whole wheat,19.5,4.0,3.0
tropical trail mix,91.8,23.9,8.8
soft pretzels,79.8,3.6,9.4
corn tostada shell,7.9,2.9,0.8
matzo crackers,23.4,0.4,2.8
sesame crunch,0.9,0.6,0.2
trail mix with chocolate chips,65.6,46.6,20.7
cracker meal,93.0,2.0,10.7
puffed rice,34.1,0.2,2.4
filinchen gutena,0.5,0.2,0.4
melba toast crackers,23.0,1.0,3.6
matzo crackers with egg onion,21.6,1.1,2.8
cornnuts,20.3,4.4,2.4
bagel chips,116.1,26.5,21.6
pretzels,24.1,0.9,3.0
potato raw,37.2,0.2,4.3
gatto di patate home made,4.0,9.4,0.0
baked potato,36.6,0.2,4.3
potato sticks,19.2,12.4,2.4
potato cooked,12.1,0.006,1.1
vivaldi potatoes sainsburys,0.0,0.1,0.0
potato ham chowder soup,13.4,12.5,6.5
russet potato raw,66.7,0.3,7.9
russet potato baked,64.1,0.4,7.9
french fries,2.2,0.4,0.2
potato scalloped,26.4,9.0,7.0
cottage fries,1.9,0.4,0.2
mashed potatoes,35.5,6.8,4.0
mashed potato with milk and butter,35.3,8.9,3.9
red potato raw,33.9,0.3,4.0
potato pancake,6.1,3.2,1.3
potato puffs,35.5,11.0,2.6
red potato baked,16.7,0.1,2.0
potatoes canned,29.7,0.3,3.6
potato skin raw,4.7,0.099,1.0
shoestring french fries,0.7,0.1,0.099
hash brown potato,15.3,9.0,1.4
baked chips lays,0.0,2.0,0.0
corn chips,17.2,10.0,1.9
nacho cheese tortilla chips low fat,18.5,1.0,2.4
corn chips barbecue,111.3,64.7,13.9
corn chips unsalted,50.5,29.4,5.8
potato chips fat free,190.1,1.4,21.9
sweet chilli kettle baked chips,2.1,2.2,2.0
taro chips,1.6,0.6,0.049
potato chips reduced fat,113.7,35.4,12.1
onion snacks,19.5,6.8,2.3
potato chips cheese,98.1,46.2,14.5
yuca cassava chips,1.2,0.4,0.054
tortilla chips low fat,22.6,1.6,3.1
ranch flavor tortilla chips,124.2,48.8,14.2
potato chips,15.9,10.4,2.1
tortilla chips,20.3,6.2,2.1
sweet potato chips,15.9,9.1,0.8
nacho cheese tortilla chips,18.2,8.2,2.2
vegetable chips,17.1,6.6,1.5
taco flavor tortilla chips,143.2,54.9,17.9
potato chips barbecue,104.5,64.2,15.2
pita chips,20.5,4.6,3.5
potato chips sour cream and onion,102.0,67.1,16.0
adobo fresco,53.6,60.2,5.8
chili pepper sauce red,0.6,0.089,0.1
creamy ranch sauce mcdonalds,1.0,14.7,0.3
catsup,4.5,0.066,0.2
chili pepper sauce green,0.8,0.032,0.1
red wine vinegar,0.011,0.0,0.055
fish sauce,0.7,0.013,0.9
coleslaw dressing reduced fat,6.8,3.4,0.0
sour dressing,0.6,2.0,0.4
guava sauce cooked,22.6,0.3,0.8
pizza sauce,21.8,2.9,5.5
sweetn sour sauce mcdonalds,11.0,0.3,0.2
nance syrup,0.8,0.002,0.028
french dressing reduced fat,4.7,2.2,0.072
peppercorn dressing,0.5,8.2,0.2
sorghum syrup,15.7,0.0,0.0
ranch dressing fat free,3.7,0.3,0.039
caesar dressing low calorie,2.8,0.7,0.028
sweet sour dressing,0.6,0.0,0.082
mayonnaise imitation fat free,2.5,0.4,0.043
sofrito,11.2,37.5,26.4
turkey gravy instant,3.9,1.0,0.8
teriyaki sauce,2.8,0.015,1.1
tomato sauce,13.0,0.7,2.9
barbecue sauce kraft,6.5,0.053,0.1
cranberry sauce sweetened,107.8,0.4,0.6
coleslaw dressing,3.8,5.3,0.1
onion gravy dry,16.2,0.7,2.2
corn syrup light,16.9,0.09,0.0
bacon tomato dressing,0.3,5.3,0.3
pancake syrup,13.9,0.075,0.0
balsamic vinegar,2.7,0.0,0.041
ranch dressing reduced fat,3.2,1.9,0.2
barbecue sauce mcdonalds,10.3,0.3,0.4
vinegar oil dressing,0.4,8.0,0.0
poppyseed dressing,4.0,5.5,0.2
honey mustard dressing,3.5,6.1,0.1
french dressing fat free,5.1,0.024,0.01
vinegar,0.089,0.0,0.0
spray dressing,1.3,0.9,0.07
honey mustard dressing fat free,5.8,0.2,0.2
mushroom gravy,13.0,6.4,3.0
white sauce,22.9,26.6,9.6
marinara pasta sauce,19.9,3.9,3.7
tomato sauce with mushrooms,20.7,0.3,3.6
pork gravy powder,4.3,0.6,0.6
beef gravy,11.2,5.5,8.7
green goddess dressing,1.1,6.5,0.3
salsa con queso,27.9,23.8,7.9
cocktail sauce,4.2,0.2,0.2
worcestershire sauce,3.3,0.0,0.0
barbecue sauce,6.9,0.1,0.1
tomato sauce with onions,24.4,0.5,3.8
brown gravy dry,3.6,0.6,0.6
blue cheese dressing light,2.1,0.4,0.3
spanish tomato sauce,17.7,0.7,3.5
oyster sauce,2.0,0.066,0.2
cheese sauce,0.8,2.2,1.5
hoisin sauce,7.1,0.5,0.5
pickle relish,5.3,0.061,0.097
tomato sauce with herbs cheese,25.0,4.7,5.2
french dressing,2.5,7.2,0.1
mayonnaise hellmanns,0.087,1.7,0.0
canadian maple syrup,19.1,0.0,0.0
maple syrup,13.4,0.047,0.09
barbecue sauce bulls eye,6.4,0.1,0.1
ranch dressing,0.9,6.7,0.2
tomato ketchup mp,0.2,0.0,0.0
mayonnaise light,1.4,3.3,0.032
mayonnaise dressing,0.066,11.7,0.0
malt syrup,15.0,0.0,1.3
gravy dry,14.5,2.0,3.3
cranberry orange relish,127.1,0.3,0.8
caesar dressing,0.5,8.5,0.3
italian dressing,1.8,3.1,0.032
brown gravy instant,4.0,0.8,0.6
roquefort cheese dressing,0.4,1.1,0.8
blue cheese dressing,0.7,7.7,0.2
duck sauce,19.7,0.063,0.1
au jus,5.9,0.5,2.8
corn syrup dark,15.5,0.0,0.0
buttermilk dressing light,3.2,1.9,0.2
cider vinegar,0.1,0.0,0.0
tartar sauce,2.0,2.5,0.2
pepper hot sauce,0.031,0.018,0.024
tomato chili sauce,1.2,0.095,0.2
turkey gravy dry,4.6,0.5,0.7
salsa sauce,1.2,0.039,0.3
steak sauce,3.7,0.004,0.2
molasses,14.9,0.068,0.0
italian dressing fat free,1.2,0.1,0.1
plum sauce,8.1,0.2,0.2
chow mein stir fry master foods,0.0,0.2,0.0
beef gravy instant,4.1,0.6,0.7
horseradish,0.6,0.085,0.003
grenadine,13.4,0.0,0.0
tabasco sauce,0.006,0.002,0.045
sweet sour sauce,6.7,0.084,0.02
salsa verde,1.0,0.1,0.2
miso,5.1,1.2,2.6
sprouted soybean cooked,6.1,4.2,8.0
soy flour roasted,28.6,18.6,29.6
soy flour low fat,30.7,7.8,40.0
green soybean cooked,9.9,5.8,11.1
azumaya tofu vitasoy,9.1,16.6,32.8
soy proteins isolate,2.1,1.0,22.8
tofu yogurt,41.8,4.7,9.2
bacon meatless,9.1,42.5,15.4
meatless chicken fried,11.1,16.6,27.7
soymilk,8.4,4.8,7.1
soy vermicelli,115.2,0.1,0.1
tofu fried,1.2,2.6,2.4
tempeh,15.6,17.9,30.8
koyadofu,1.7,5.2,8.9
meatless meatloaf,4.5,5.0,11.8
soya vanille joghurt alpro,1.0,0.6,0.3
soybean curd cheese,15.5,18.2,28.1
soy sauce,0.8,0.054,1.3
soybean dry roasted,30.4,20.1,36.8
soybean oil,0.0,13.6,0.0
meatless chicken,6.1,21.4,39.7
soybean cooked,17.1,15.4,28.6
soymilk nonfat,10.1,0.046,6.0
soy flour,1.8,1.1,1.8
soybean lecithin oil,0.0,13.6,0.0
tofu raw,4.7,11.9,20.0
soy chips,15.0,2.1,7.5
green soybean raw,28.3,17.4,33.2
soy proteins concentrate,7.2,0.1,18.0
soybean margarine,0.043,3.8,0.052
