food,Carbohydrates,Fat,Protein
quarter pounder with cheese mcdonalds,39.7,28.3,29.0
beef sandwich steak raw,0.0,15.1,9.2
cheeseburger,28.7,13.2,15.0
premium grilled chicken ranch blt sandwich mcdonalds,44.3,10.9,33.7
double whopper with cheese burger king,53.9,68.1,57.7
big mac mcdonalds,44.0,32.8,25.9
sandwich with cold cuts,79.9,39.3,41.1
filet o fish mcdonalds,35.4,19.6,15.1
hand breaded chicken tenders carls jr,0.2,2.9,0.0
grilled chicken sandwich wendys,0.0,8.0,0.0
sandwich with roast beef,44.3,13.0,28.6
hamburger burger king,26.5,10.4,14.7
big n tasty mcdonalds,38.5,31.7,24.7
roast beef sandwich,33.1,15.3,22.6
roast beef sandwich with cheese,45.4,18.0,32.2
hamburger,28.7,9.9,12.9
premium fish sandwich burger king,58.7,27.4,22.6
whopper burger king,52.8,48.4,35.4
sandwich with tuna salad,55.4,28.0,29.7
original chicken sandwich burger king,52.2,29.2,24.2
double whopper burger king,51.4,58.6,52.1
premium crispy chicken club sandwich mcdonalds,57.4,29.9,39.1
hamburger mcdonalds,28.8,9.6,12.3
pepperoni pizza dominos,36.0,12.6,12.7
sausage pizza,35.5,14.3,13.3
pepperoni pizza,35.5,13.2,13.0
pepperoni pizza pizza hut,30.3,10.9,12.3
cheese pizza pizza hut,30.0,10.5,11.5
cheese pizza,35.7,10.4,12.2
cheese pizza dominos,35.9,9.7,11.7
meat vegetable pizza,34.5,14.8,15.0
sucker raw,0.0,3.7,26.6
northern pike raw,0.0,2.7,76.3
haddock cooked,0.0,0.8,30.0
burbot cooked,0.0,0.9,22.3
pollock cooked,0.0,3.8,75.3
rainbow smelt raw,0.0,0.7,5.0
whitefish cooked,0.0,11.6,37.7
walleye pike raw,0.0,1.9,30.4
carp cooked,0.0,12.2,38.9
wolffish cooked,0.0,7.3,53.4
snapper cooked,0.0,2.9,44.7
roe cooked,0.5,2.3,8.1
anchovy raw,0.0,1.4,5.8
herring raw,0.0,16.6,33.0
cod raw,0.0,1.5,41.1
tilapia raw,0.0,2.0,23.3
whiting cooked,0.0,1.2,16.9
skipjack tuna cooked,0.0,4.0,86.9
salmon cooked,0.0,44.0,78.7
chum salmon cooked,0.0,14.9,79.5
american shad cooked,0.0,25.4,31.3
shark cooked,1.8,3.9,5.3
trout cooked,0.0,5.3,16.5
swordfish raw,0.0,9.0,26.7
rainbow trout cooked,0.0,5.2,16.9
fish sandwich with cheese,35.4,19.6,15.1
jellyfish dried,0.0,0.8,3.2
mullet raw,0.0,4.5,23.0
halibut cooked,0.0,5.1,71.7
lingcod raw,0.0,2.7,44.2
orange roughy cooked,0.0,0.3,6.4
cisco raw,0.0,1.5,15.0
florida pompano cooked,0.0,10.7,20.8
snapper raw,0.0,2.9,44.7
fish sandwich,58.7,27.4,22.6
haddock raw,0.0,0.9,31.5
ocean perch raw,0.0,1.0,9.8
cuttlefish cooked,0.5,0.4,9.2
cod cooked,0.0,1.5,41.1
seatrout raw,0.0,8.6,39.8
flounder raw,0.0,3.1,20.2
spot cooked,0.0,3.1,11.9
walleye pike cooked,0.0,1.9,30.4
perch raw,0.0,0.6,11.6
pumpkin seed sunfish raw,0.0,0.3,9.3
salt mackerel,0.0,34.1,25.2
mackerel cooked,0.0,15.7,21.0
tilapia cooked,0.0,2.3,22.8
drum raw,0.0,9.8,34.7
atlantic croaker fried,6.6,11.0,15.8
pumpkin seed sunfish cooked,0.0,0.3,9.2
wolffish raw,0.0,7.3,53.6
bluefin tuna cooked,0.0,9.4,44.9
scup cooked,0.0,1.8,12.1
herring cooked,0.0,16.6,32.9
bluefish raw,0.0,6.4,30.1
sheepshead cooked,0.0,3.0,48.4
